,Fall,Spring,Summer,Winter
t2m_mean,16.994246333620275,17.52766219241609,19.24733342567968,14.03947913421946
t2m_max,26.637277613551646,26.690518980928687,26.759826760930025,25.074714066212437
t2m_min,7.046886319533371,7.0508269907541035,11.542491599216248,7.044421170572207
t2m_p25,15.232659686879103,15.781042494622653,18.058105464264884,12.183655987560428
t2m_p50,17.38855238795702,17.655564072178976,19.088252646552064,14.115203125409607
t2m_p75,18.976855949191872,19.28528168768969,20.292492755549816,15.914138244218691
t2m_p90,20.350102832521713,20.995978515954732,21.70878117488449,17.504271436115612
t2m_p95,21.195058888194183,22.092030092317756,22.669130789233346,18.449833547873837
t2m_p99,22.683305398897033,24.05604829096291,24.51565937250173,20.131886648654536
d2m_mean,14.574340330947589,14.239723856351958,17.04863454485618,10.415414077550254
d2m_max,21.241861263210694,20.49222618106404,21.25423196466602,17.786876497560797
d2m_min,3.4000173853520437,3.397487373439958,7.192280605948895,3.4019973412373474
d2m_p25,12.787394957721233,12.527704955734322,16.221736193133296,8.654306854764542
d2m_p50,15.143695520118058,14.679465946913922,17.264898661406733,10.574765905910738
d2m_p75,16.86073891503193,16.415755619511685,18.096485900905563,12.285210903112642
d2m_p90,17.88092728341403,17.493103070465963,18.75236893891946,13.613229123724556
d2m_p95,18.377155124446126,17.998493770128885,19.116147309638407,14.380453805425669
d2m_p99,19.149970859772,18.95455333274594,19.745752219754593,15.629069351332038
wind_speed_10_mean,1.1992074827678574,1.425466309947436,1.1933874500162385,1.244270584660296
wind_speed_10_max,3.0410416690032043,3.0412326637623592,3.040846098430479,3.0414950981921622
wind_speed_10_min,0.0046289352301574,0.0265202336846451,0.014903385752279,0.0037191003708569
wind_speed_10_p25,0.8297809365243134,1.0032356870540604,0.8192072732558761,0.8571316923641423
wind_speed_10_p50,1.1518441778064843,1.3831510441564732,1.1330524394773134,1.1995105176707248
wind_speed_10_p75,1.5126874915815067,1.790230265722404,1.4926649142400512,1.5735327260816465
wind_speed_10_p90,1.8917771204893876,2.2218564648454424,1.893886322277706,1.9442013988165425
wind_speed_10_p95,2.1242942582210995,2.498122137090238,2.1831412400876307,2.219828083142093
wind_speed_10_p99,2.627434623307184,2.9090189017291554,2.7222265450290672,2.7282609480715903
rain_sum,1267.089110383847,1689.2593213227237,2923.4855207874507,616.311917587048
rain_max,1.1529528972181,1.1530902089525,1.1538628356839,1.1514948675511
rain_min,-8.673617379884035e-16,-8.673617379884035e-16,-8.673617379884035e-16,-8.673617379884035e-16
rain_p25,0.0,0.0,0.00011037524733905833,0.0
rain_p50,0.0006410518121296831,0.0020499612018516807,0.010954480172394986,0.0
rain_p75,0.016550958212748997,0.035234338493931,0.1235096087881,0.0017660039574271015
rain_p90,0.1319985256744,0.2041235778885,0.4447049705984202,0.03084147166041015
rain_p95,0.32849272745684915,0.4562550213165,0.6784851209765501,0.10154573953002499
rain_p99,0.8367846439154604,0.9367148315628749,1.021980927680925,0.6539153153077791
