,Fall,Spring,Summer,Winter
temp_out_mean,15.722421020900585,16.667168942390894,17.370495633461513,13.766005319549182
temp_out_max,26.183333333333334,26.849999999999998,26.858333333333334,24.433333333333334
temp_out_min,4.716666666666667,4.716666666666667,4.916666666666667,4.716666666666667
temp_out_p25,13.6,13.991666666666667,15.200000000000001,11.4
temp_out_p50,15.6,16.55,17.083333333333332,13.649999999999999
temp_out_p75,17.849999999999998,19.316666666666666,19.45,16.083333333333332
temp_out_p90,19.933333333333334,21.597500000000004,21.3,18.2
temp_out_p95,21.127499999999994,22.936249999999987,22.425833333333323,19.3
temp_out_p99,23.1155,25.103916666666677,24.461833333333335,21.34091666666667
dew_pt_mean,13.35689943360054,12.558258875628855,15.497043065088311,9.262677130154147
dew_pt_max,22.0,22.041666666666668,25.133333333333336,22.3
dew_pt_min,-6.066666666666666,-6.1499999999999995,-3.3666666666666667,-6.116666666666667
dew_pt_p25,11.65,10.816666666666668,14.299999999999999,7.758333333333333
dew_pt_p50,13.708333333333334,12.966666666666667,15.533333333333333,9.675
dew_pt_p75,15.366666666666667,14.725,16.766666666666666,11.266666666666666
dew_pt_p90,16.666666666666668,16.133333333333333,17.833333333333332,12.6
dew_pt_p95,17.414583333333333,16.900000000000002,18.400000000000002,13.308333333333332
dew_pt_p99,18.93541666666667,18.5,19.73441666666666,14.649999999999999
wind_speed_mean,2.7495539556297968,2.8315333382207646,2.700962204984728,2.9375954417753114
wind_speed_max,9.907407407407407,9.907407407407407,9.907407407407407,9.907407407407407
wind_speed_min,0.0,0.0,0.0,0.0
wind_speed_p25,1.074074074074074,1.1111111111111112,0.8888888888888888,1.0
wind_speed_p50,2.2361111111111107,2.3842592592592595,2.300925925925926,2.3842592592592595
wind_speed_p75,3.9537037037037037,4.027777777777778,4.027777777777778,4.398148148148148
wind_speed_p90,5.966203703703707,6.027777777777778,5.958333333333333,6.472222222222222
wind_speed_p95,7.069444444444444,7.185185185185184,6.99537037037037,7.60648148148148
wind_speed_p99,8.87037037037037,8.944444444444443,8.710162037037033,9.203703703703704
rain_sum,713.28,974.17,1101.85,324.52
rain_max,3.31,3.31,3.31,3.3
rain_min,0.0,0.0,0.0,0.0
rain_p25,0.0,0.0,0.0,0.0
rain_p50,0.0,0.0,0.0,0.0
rain_p75,0.0,0.0,0.0,0.0
rain_p90,0.0,0.0,0.0,0.0
rain_p95,0.0,0.25,0.25,0.0
rain_p99,1.26,1.51,1.77,0.5
